gene,chromatin_change,change_score
SLC16A2,Tx-ReprPCWk,-2
TSPAN6,ReprPC-Tx,3
SERPINA7,ReprPCWk-Tx,2
COL4A5,ReprPCWk-Tx,2
AMMECR1,ReprPCWk-Tx,2
ALG13,Tx-Het,-4
DOCK11,ReprPCWk-Tx,2
IL13RA1,ReprPCWk-Tx,2
SLC25A43,ReprPCWk-Tx,2
SEPTIN6,ReprPC-Tx,3
LAMP2,ReprPCWk-Tx,2
ZDHHC9,ReprPCWk-Tx,2
STK26,ReprPCWk-Tx,2
FRMD7,ReprPCWk-Tx,2
PHF6,ReprPCWk-Tx,2
HPRT1,ReprPCWk-Tx,2
HTATSF1,ReprPC-Tx,3
ATP11C,Tx-Het,-4
ZNF275,Het-Tx,4
ARHGAP4,Tx-ReprPCWk,-2
NAA10,ReprPCWk-Tx,2
FLNA,ReprPCWk-Tx,2
FAM3A,Tx-Het,-4
FUNDC2,Tx-Het,-4
BRCC3,Tx-Het,-4
