gene,chromatin_change,change_score
ANXA1,ReprPCWk-Tx,2
GNA14,Tx-ReprPCWk,-2
TLE4,Tx-Het,-4
SEMA4D,Tx-ReprPCWk,-2
SYK,ReprPC-Tx,3
AUH,Het-Tx,4
PHF2,Het-Tx,4
HSD17B3,Tx-ReprPCWk,-2
SLC35D2,Het-Tx,4
CDC14B,Het-Tx,4
ANKS6,Tx-Het,-4
ERP44,Het-Tx,4
MSANTD3,Tx-Het,-4
PLPPR1,ReprPCWk-Tx,2
ZNF189,Het-Tx,4
ALDOB,Tx-Het,-4
PGAP4,Tx-ReprPCWk,-2
FSD1L,Het-Tx,4
KLF4,Tx-ReprPCWk,-2
